date,sm,quality,pass
2016-01-16,0.2014054592404876,13,PM
2016-01-17,nan,0,AM
2016-01-17,nan,0,PM
2016-01-18,nan,0,AM
2016-01-18,0.16645962245466328,13,PM
2016-01-19,0.17651532929772162,13,AM
2016-01-19,0.21887918354481645,13,PM
2016-01-20,nan,0,AM
2016-01-20,nan,0,PM
2016-01-21,0.24612774523147077,13,AM
2016-01-21,0.24875069869485195,13,PM
2016-01-22,0.2457950806185795,13,AM
2016-01-22,nan,0,PM
2016-01-23,nan,0,AM
2016-01-23,nan,0,PM
2016-01-24,0.292850323125645,13,AM
2016-01-24,0.2583079613832769,13,PM
2016-01-25,nan,0,AM
2016-01-25,nan,0,PM
2016-01-26,nan,0,AM
2016-01-26,0.34442842047542727,13,PM
2016-01-27,0.28775797092637745,13,AM
2016-01-27,0.3243101379210282,13,PM
2016-01-28,nan,0,AM
2016-01-28,nan,0,PM
2016-01-29,0.2583593820384847,13,AM
2016-01-29,0.306015227350631,13,PM
2016-01-30,0.3180725249703129,13,AM
2016-01-30,nan,0,PM
2016-01-31,nan,0,AM
2016-01-31,nan,0,PM
2016-02-01,0.28070332027375533,13,AM
2016-02-01,0.31144638355377335,13,PM
2016-02-02,nan,0,AM
2016-02-02,nan,0,PM
2016-02-03,nan,0,AM
2016-02-03,0.27148948308803816,13,PM
2016-02-04,0.3039977659325928,13,AM
2016-02-04,0.24183092631553896,13,PM
2016-02-05,nan,0,AM
2016-02-05,nan,0,PM
2016-02-06,0.2893970027841132,13,AM
2016-02-06,0.2866066831763924,13,PM
2016-02-07,0.3312383036441354,13,AM
2016-02-07,nan,0,PM
2016-02-08,nan,0,AM
2016-02-08,nan,0,PM
2016-02-09,0.2975318901069884,13,AM
2016-02-09,0.32961153998245535,13,PM
2016-02-10,nan,0,AM
2016-02-10,nan,0,PM
2016-02-11,nan,0,AM
2016-02-11,0.24738290313908556,13,PM
2016-02-12,0.2640412775294102,13,AM
2016-02-12,0.3063708632750824,13,PM
2016-02-13,nan,0,AM
2016-02-13,nan,0,PM
2016-02-14,0.3611141497870698,13,AM
2016-02-14,0.32649490507408174,13,PM
2016-02-15,0.30242374680298434,13,AM
2016-02-15,nan,0,PM
2016-02-16,nan,0,AM
2016-02-16,nan,0,PM
2016-02-17,0.24854361888794646,13,AM
2016-02-17,0.2536298398764426,13,PM
2016-02-18,nan,0,AM
2016-02-18,nan,0,PM
2016-02-19,nan,0,AM
2016-02-19,0.25699681007768704,13,PM
2016-02-20,0.24941717108652192,13,AM
2016-02-20,0.2479743963773517,13,PM
2016-02-21,nan,0,AM
2016-02-21,nan,0,PM
2016-02-22,0.2850273057910139,13,AM
